Source,Target,Type,Id,Label,timeset,Weight
Angeal,Zack,Undirected,100,,,317
Angeal,Sephiroth,Undirected,101,,,56
Angeal,Kunsel,Undirected,102,,,4
Angeal,Lazard,Undirected,103,,,26
Angeal,Genesis,Undirected,104,,,74
Angeal,Tseng,Undirected,105,,,10
Angeal,Cissnei,Undirected,106,,,3
Angeal,Aerith,Undirected,107,,,9
Angeal,Hojo,Undirected,108,,,4
Angeal,Jenova,Undirected,109,,,3
Angeal,Cloud,Undirected,110,,,10
Zack,Sephiroth,Undirected,111,,,266
Zack,Kunsel,Undirected,112,,,14
Zack,Lazard,Undirected,113,,,100
Zack,Genesis,Undirected,114,,,240
Zack,Yuffie,Undirected,115,,,8
Zack,Tseng,Undirected,116,,,171
Zack,Hollander,Undirected,117,,,118
Zack,Reno,Undirected,118,,,8
Zack,Rude,Undirected,119,,,6
Zack,Cissnei,Undirected,120,,,122
Zack,Aerith,Undirected,121,,,241
Zack,Hojo,Undirected,122,,,20
Zack,Jenova,Undirected,123,,,11
Zack,Cloud,Undirected,124,,,206
Zack,Tifa,Undirected,125,,,62
Sephiroth,Lazard,Undirected,126,,,11
Sephiroth,Genesis,Undirected,127,,,93
Sephiroth,Tseng,Undirected,128,,,28
Sephiroth,Hollander,Undirected,129,,,39
Sephiroth,Aerith,Undirected,130,,,76
Sephiroth,Hojo,Undirected,131,,,42
Sephiroth,Jenova,Undirected,132,,,62
Sephiroth,Cloud,Undirected,133,,,500
Sephiroth,Tifa,Undirected,134,,,224
Lazard,Genesis,Undirected,135,,,11
Lazard,Tseng,Undirected,136,,,2
Lazard,President,Undirected,137,,,1
Lazard,Hollander,Undirected,138,,,3
Lazard,Cissnei,Undirected,139,,,1
Lazard,Aerith,Undirected,140,,,1
Lazard,Cloud,Undirected,141,,,6
Genesis,Tseng,Undirected,142,,,27
Genesis,President,Undirected,143,,,1
Genesis,Hollander,Undirected,144,,,29
Genesis,Cissnei,Undirected,145,,,3
Genesis,Aerith,Undirected,146,,,1
Genesis,Hojo,Undirected,147,,,11
Genesis,Jenova,Undirected,148,,,9
Genesis,Cloud,Undirected,149,,,7
Tseng,President,Undirected,150,,,5
Tseng,Hollander,Undirected,151,,,8
Tseng,Reno,Undirected,152,,,30
Tseng,Rude,Undirected,153,,,18
Tseng,Cissnei,Undirected,154,,,12
Tseng,Aerith,Undirected,155,,,45
Tseng,Cloud,Undirected,156,,,34
President,Hollander,Undirected,157,,,1
Hollander,Cissnei,Undirected,158,,,4
Hollander,Hojo,Undirected,159,,,1
Hollander,Jenova,Undirected,160,,,4
Hollander,Cloud,Undirected,161,,,14
Reno,Rude,Undirected,162,,,98
Reno,Cissnei,Undirected,163,,,5
Reno,Cloud,Undirected,164,,,49
Rude,Cissnei,Undirected,165,,,5
Rude,Cloud,Undirected,166,,,27
Cissnei,Aerith,Undirected,167,,,3
Cissnei,Cloud,Undirected,168,,,5
Aerith,Cloud,Undirected,169,,,750
Hojo,Jenova,Undirected,170,,,15
Cloud,Tifa,Undirected,171,,,1353
Kadaj,Rufus,Undirected,916,,,41
Kadaj,Elena,Undirected,917,,,3
